ts,open,high,low,close,volume
2025-05-12 08:00:00,21006.0,21046.0,20983.0,21027.0,13371
2025-05-12 09:00:00,21027.0,21128.0,20978.0,21091.0,43638
2025-05-12 10:00:00,21093.0,21135.0,21064.0,21078.0,17226
2025-05-12 11:00:00,21078.0,21090.0,21002.0,21038.0,16983
2025-05-12 12:00:00,21039.0,21072.0,21024.0,21050.0,8125
2025-05-12 13:00:00,21051.0,21079.0,21031.0,21066.0,8701
2025-05-12 15:00:00,21068.0,21447.0,21067.0,21364.0,37403
2025-05-12 16:00:00,21362.0,21418.0,21334.0,21388.0,10344
2025-05-12 17:00:00,21388.0,21421.0,21381.0,21405.0,5101
2025-05-12 18:00:00,21405.0,21435.0,21378.0,21398.0,5678
2025-05-12 19:00:00,21397.0,21406.0,21363.0,21377.0,4866
2025-05-12 20:00:00,21374.0,21417.0,21373.0,21389.0,3969
2025-05-12 21:00:00,21391.0,21434.0,21315.0,21330.0,19420
2025-05-12 22:00:00,21330.0,21392.0,21296.0,21360.0,19816
2025-05-12 23:00:00,21360.0,21408.0,21350.0,21386.0,9820
2025-05-13 00:00:00,21387.0,21478.0,21380.0,21477.0,7925
2025-05-13 01:00:00,21475.0,21505.0,21460.0,21466.0,6250
2025-05-13 02:00:00,21465.0,21485.0,21454.0,21455.0,1733
2025-05-13 03:00:00,21454.0,21477.0,21423.0,21461.0,2647
2025-05-13 04:00:00,21462.0,21496.0,21462.0,21495.0,2207
2025-05-13 05:00:00,21495.0,21498.0,21487.0,21494.0,156
2025-05-13 08:00:00,21419.0,21495.0,21407.0,21491.0,10486
2025-05-13 09:00:00,21490.0,21518.0,21410.0,21427.0,39477
2025-05-13 10:00:00,21428.0,21479.0,21326.0,21341.0,29303
2025-05-13 11:00:00,21340.0,21374.0,21288.0,21344.0,17486
2025-05-13 12:00:00,21345.0,21356.0,21316.0,21337.0,8458
2025-05-13 13:00:00,21337.0,21360.0,21326.0,21357.0,9384
2025-05-13 15:00:00,21353.0,21365.0,21342.0,21353.0,3931
2025-05-13 16:00:00,21353.0,21353.0,21318.0,21332.0,3899
2025-05-13 17:00:00,21331.0,21388.0,21314.0,21374.0,5103
2025-05-13 18:00:00,21374.0,21390.0,21360.0,21378.0,4038
2025-05-13 19:00:00,21378.0,21414.0,21368.0,21390.0,5954
2025-05-13 20:00:00,21391.0,21483.0,21383.0,21444.0,10466
2025-05-13 21:00:00,21444.0,21513.0,21413.0,21503.0,15548
2025-05-13 22:00:00,21503.0,21657.0,21492.0,21654.0,24121
2025-05-13 23:00:00,21656.0,21688.0,21635.0,21687.0,12615
2025-05-14 00:00:00,21687.0,21704.0,21590.0,21685.0,13138
2025-05-14 01:00:00,21685.0,21723.0,21665.0,21669.0,5967
2025-05-14 02:00:00,21669.0,21698.0,21656.0,21698.0,2170
2025-05-14 03:00:00,21698.0,21719.0,21673.0,21698.0,2032
2025-05-14 04:00:00,21697.0,21697.0,21662.0,21678.0,2056
2025-05-14 05:00:00,21677.0,21679.0,21674.0,21674.0,85
2025-05-14 08:00:00,21670.0,21719.0,21661.0,21697.0,7615
2025-05-14 09:00:00,21696.0,21729.0,21613.0,21668.0,36248
2025-05-14 10:00:00,21669.0,21686.0,21580.0,21615.0,21600
2025-05-14 11:00:00,21616.0,21691.0,21614.0,21688.0,12658
2025-05-14 12:00:00,21688.0,21785.0,21682.0,21771.0,18279
2025-05-14 13:00:00,21770.0,21787.0,21729.0,21770.0,11101
2025-05-14 15:00:00,21800.0,21882.0,21762.0,21786.0,15216
2025-05-14 16:00:00,21785.0,21797.0,21749.0,21778.0,6773
2025-05-14 17:00:00,21778.0,21791.0,21736.0,21760.0,5093
2025-05-14 18:00:00,21761.0,21794.0,21745.0,21792.0,3673
2025-05-14 19:00:00,21791.0,21848.0,21789.0,21830.0,7148
2025-05-14 20:00:00,21832.0,21889.0,21810.0,21817.0,9366
2025-05-14 21:00:00,21820.0,21846.0,21754.0,21772.0,17085
2025-05-14 22:00:00,21773.0,21850.0,21773.0,21835.0,14680
2025-05-14 23:00:00,21837.0,21837.0,21778.0,21820.0,7639
2025-05-15 00:00:00,21820.0,21845.0,21800.0,21816.0,4789
2025-05-15 01:00:00,21816.0,21820.0,21741.0,21806.0,6417
2025-05-15 02:00:00,21807.0,21828.0,21774.0,21809.0,2739
2025-05-15 03:00:00,21810.0,21824.0,21777.0,21818.0,1757
2025-05-15 04:00:00,21817.0,21824.0,21802.0,21818.0,1069
2025-05-15 05:00:00,21818.0,21819.0,21815.0,21817.0,48
